"","sample_id","genotype","block_number","replica_number","dev_stage","dev_group","leaf_number","leaf_zone","dag","tissue_designation","developmental_stage_dap","variable","value"
"23497","D12P27A","PT",2,2,12,">9",7,"Along",49,"PT_7_12",50,"TG_50_3_16_0_16_0_18_3",16938
"23498","D12B19A","B73",2,1,9,"7-9",9,"Along",49,"B73_9_9",50,"TG_50_3_16_0_16_0_18_3",11765
"23499","D12B29A","B73",2,2,9,"7-9",9,"Along",49,"B73_9_9",50,"TG_50_3_16_0_16_0_18_3",16545
"23500","D12C19A","CML312",2,1,10,">9",9,"Along",49,"CML312_9_10",50,"TG_50_3_16_0_16_0_18_3",40911
"23501","D12C29A","CML312",2,2,11,">9",9,"Along",49,"CML312_9_11",50,"TG_50_3_16_0_16_0_18_3",38379
"23502","D12P19A","PT",2,1,8,"7-9",9,"Along",49,"PT_9_8",50,"TG_50_3_16_0_16_0_18_3",24933
"23503","D12P29A","PT",2,2,12,">9",9,"Along",49,"PT_9_12",50,"TG_50_3_16_0_16_0_18_3",12208
"23504","D12B111A","B73",2,1,9,"7-9",11,"Along",49,"B73_11_9",50,"TG_50_3_16_0_16_0_18_3",9660
"23505","D12B211A","B73",2,2,9,"7-9",11,"Along",49,"B73_11_9",50,"TG_50_3_16_0_16_0_18_3",8174
"23506","D12P111A","PT",2,1,8,"7-9",11,"Along",49,"PT_11_8",50,"TG_50_3_16_0_16_0_18_3",3634
"23507","D12P211A","PT",2,2,12,">9",11,"Along",49,"PT_11_12",50,"TG_50_3_16_0_16_0_18_3",11566
"23508","D12C111A","CML312",2,1,10,">9",11,"Along",49,"CML312_11_10",50,"TG_50_3_16_0_16_0_18_3",12155
"23509","D12C211A","CML312",2,2,11,">9",11,"Along",49,"CML312_11_11",50,"TG_50_3_16_0_16_0_18_3",20676
"23510","D12B113A","B73",2,1,9,"7-9",13,"Along",49,"B73_13_9",50,"TG_50_3_16_0_16_0_18_3",6446
